#
# Results on Monday November 02 2020 01:42:45 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36
# Design number was non-random = 0
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,55,0,target_embedding_base_positive,24,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,55,0,target_embedding_base_positive,24,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,23,0,target_even_base_positive,8,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,23,0,target_even_base_positive,8,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,26,0,target_even_base_neutral,9,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,26,0,target_even_base_neutral,9,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,70,0,target_possessive_base_neutral,31,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,70,0,target_possessive_base_neutral,31,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,22,0,target_even_base_neutral,7,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,22,0,target_even_base_neutral,7,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,122,0,target_stateChange_base_neutral,57,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,122,0,target_stateChange_base_neutral,57,plus_trigger,67
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,130,0,target_still_base_neutral,61,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,130,0,target_still_base_neutral,61,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,74,0,target_possessive_base_neutral,33,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,74,0,target_possessive_base_neutral,33,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,30,0,target_too_base_neutral,11,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,30,0,target_too_base_neutral,11,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,10,0,target_only_base_neutral,1,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,10,0,target_only_base_neutral,1,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,127,0,target_still_base_positive,60,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,127,0,target_still_base_positive,60,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,50,0,target_embedding_base_neutral,21,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,50,0,target_embedding_base_neutral,21,minus_trigger,61
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,18,0,target_even_base_neutral,5,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,18,0,target_even_base_neutral,5,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,111,0,target_back_base_positive,52,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,111,0,target_back_base_positive,52,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,31,0,target_too_base_positive,12,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,31,0,target_too_base_positive,12,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,99,0,target_again_base_positive,46,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,99,0,target_again_base_positive,46,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,67,0,target_possessive_base_positive,30,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,67,0,target_possessive_base_positive,30,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,43,0,target_cleft_base_positive,18,plus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,43,0,target_cleft_base_positive,18,minus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,106,0,target_again_base_neutral,49,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,106,0,target_again_base_neutral,49,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,134,0,target_still_base_neutral,63,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,134,0,target_still_base_neutral,63,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,98,0,target_again_base_neutral,45,plus_trigger,1
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,98,0,target_again_base_neutral,45,minus_trigger,100
1604281797,7f73ac7bb7c7d335690c4b224647d8bd,RangeForm,38,0,target_cleft_base_neutral,15,plus_trigger,1
